Table 1
,,,,,,,
,,,১০২ খুলনা-৪,,,,
,,,,,,,
,কেন্দ্র,মোট ভোটার,আব্দুস সালাম মূর্শেদী ,আজিজুল বারী হেলাল ,প্রদত্ত ভোট,শতকরা হার,
,,,নৌকা ,ধানের শীষ ,,,
,"43 মিল্কি দেয়াড়া সরকারী প্রাথমিক বিদ্যালয়, মিল্কি দেয়াড়া (পুরুষ ও মহিলা ভোটকেন্দ্র)",3186,1945,164,2178,68.36%,
,"44 সিংহের চর সরকারী প্রাথমিক বিদ্যালয়, সিংহের চর (পুরুষ ও মহিলা ভোটকেন্দ্র)",1310,892,87,991,75.65%,
,45 দেয়াড়া রাজাপুর সরকারী প্রাথমিক বিদ্যালয় (পুরুষ ভোটকেন্দ্র),3138,2088,307,2528,80.56%,
,46 খান বাহাদুর সরকারী প্রাথমিক বিদ্যালয় (মহিলা ভোটকেন্দ্র),3194,1828,382,2282,71.45%,
,"47 শোলপুর দেয়াড়া যুগিহাটি আমিনিয়া আলিম মাদ্রসা, যুগিহাটি। (পুরুষ ভোটকেন্দ্র)",1808,1078,235,1369,75.72%,
,48 শোলপুর যুগিহাটি সরকারী প্রাথমিক বিদ্যালয় (মহিলা ভোটকেন্দ্র),1828,1238,115,1387,75.88%,
,"49 দুর্জ্জনি মহল সরকারী প্রাথমিক বিদ্যালয়, দুর্জনিমহল (পুরুষ ও মহিলা ভোটকেন্দ্র)",2863,1963,214,2266,79.15%,
,"50 জে.কে.এস সরকারি প্রাথমিক বিদ্যালয়, শিরগাতী (পুরুষ ভোটকেন্দ্র)।",1897,1103,261,1456,76.75%,
,"51 জে.কে.এস মাধ্যমিক বালিকা বিদ্যালয়, শিরগাতী (মহিলা ভোটকেন্দ্র)।",2051,885,384,1384,67.48%,
,"52 আজগড়া উচ্চ বিদ্যালয় ও তৎসংলগ্ন আজগড়া সরকারী প্রাথঃ বিদ্যালয়, হোসেনপুর। (পুরুষ ও মহিলা ভোটকেন্দ্র)",1833,1266,123,1406,76.70%,
,"53 ভবানীপুর সরকারী প্রাথঃ বিদ্যালয়, ভবানীপুর। (পুরুষ ও মহিলা ভোটকেন্দ্র)",1066,750,8,799,74.95%,
,"54 শ্রীফলতলা ইউনিয়ন পরিষদ, শ্রীফলতলা। (পুরুষ ও মহিলা ভোটকেন্দ্র)",3376,2191,212,2549,75.50%,
,"55 জে, বি, এম মাধ্যমিক বিদ্যালয় (পুরাতন ভবন), মৈশাঘুণী (পুরুষ ভোটকেন্দ্র)",2226,1201,164,1669,74.98%,
